Structure [idcode]	MW	name	activity	activity_value	mode_of_action	receptor	receptor_class	reference	remarks	
em_P@`@@BICGBamcgo`TZYU\bbbbTRbfbJbRTraQvbTTrXdlRjfznYyZdJbJ@jBjbjjjjbIPQ^KJUJYPkEDif\p@	610.5192	Rutin; (Melin; Phytomelin)	LD50(mouse) i.v.<NL>LD50(rat)i.p.<NL>LD50(guinea pig) i.p.<NL>LD50(mouse) i.p.	950 mg/kg<NL>2 g/kg<NL>2 g/kg<NL>200 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Polygonaceae; Solanaceae; Oleaceae; Rutaceae<NL>Tumorigen; Mutagen	
dmL@@LdfdRlJbyjjjiDxI`@	150.26392	Sabinene						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Chamaecyparis species; Juniperus species	
dmtH@@RVYiyVZjf@@	150.22015	Safranal						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Crocus sativus	
dclD@@iJYW]rnF``JX@@	162.1874	Safrol	LDLo(rabbit) p.o.<NL>LDLo(rabbit) s.c.<NL>LDLo(rabbit) i.v.<NL>LD50(mouse) p.o.<NL>LD50(rat) p.o.	1 g/kg<NL>1 g/kg<NL>200 mg/kg<NL>2350 mg/kg<NL>1950 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Sassafras oil<NL>Tumorigen; Mutagen; Reproductive-effector; Primary-irritant	
deTL@@QdfygFV``@@@	138.12164	Salicylic acid	LDLo(rabbit) s.c.<NL>LD50(mouse) p.o.<NL>LD50(cat) p.o.<NL>LD50(rabbit) p.o.	6 g/kg<NL>480 mg/kg<NL>400 mg/kg<NL>1300 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Gaultheria procumbens<NL>Mutagen<NL>Reproductive-effector<NL>Primary-irritant	
dg~D@MBdin]V^G[hHBjbbR@@	193.2451	Salsoline	LD50(mouse) i.v. (chloride)<NL>LD50(mouse) p.o. (chloride)	140 mg/kg<NL>1000 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Salsola kali; Salsola species	
foA``@C@heMrkl|dYuAAEUEAQ@@	207.27197	Salsolidine	LD50(mouse) i.v.<NL>LD50(mouse) i.p.	170 mg/kg<NL>250 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Salsola kali	
fjm`p@O@pIVgYHhheDeLUBeRVRuUUUU`ACHQDHjKbd`@	295.28998	Sambunigrine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Sambucus nigra	
feoaPBM@hwl}SOdieggm^uUBTDkQ`qKWhzB@@B@@Jh@`@@	349.3411	Sanguinarine	LD50(mouse) i.p.<NL>LD(mouse) s.c.<NL>LD50(rat) p.o.<NL>LD50(dog) s.c.<NL>LD50(cat) s.c.<NL>LD50(ratbbit) s.c.<NL>LD50(frog) s.c.	19.4 mg/kg<NL>80 mg/kg<NL>1.658 g/kg<NL>70 mg/kg<NL>120 mg/kg<NL>125 mg/kg<NL>70 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Sanguinaria canadiensis; Papaveraceae<NL>Carcinogen; Mutagen	
fdeA`@@ZCdTTRabbrrYpug^ZYjjjZhgDJFgd@	246.30492	alpha-Santonin	LDLo(man) unreported<NL>LD50(mouse) i.v.<NL>LD50(mouse) p.o.<NL>LD50(mouse) i.p.	15 mg/kg<NL>180 mg/kg<NL>900 mg/kg<NL>130 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Artemisia cina; Artemisia species	
fdeA`@@ZCdTTRabbrrYpug^ZYjjjZhgDJFgh@	246.30492	beta-Santonin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Artemisia cina; Artemisia species	
fn{P`@AV@UIe[[VUW^cARM[tXy`@ijjjibjIjFgiEPK@	310.3957	Sarpagine; (Raupin)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Rauvolfia serpentina; Rauvolfia species	
eglPL@@@LKldTbRbRUTRtrTfVsBg@ecbVSWVquUUUUUUUUUUUFPHaLKaBRqNJJYJi]Hy@@	416.64337	Sarsasapogenin; (Parigenin)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Smilax species	
eh~pK@@@DGMk`RZ^UW_P|bbRrbdRblrTfVrTRbfQTRbfRhXTlBbJjfVaQuMZejjjjjijjjjjjjjjjhnDHeIyHeded\ge|hXcFTJiYjcT@@	692.7959	Scillaren A	LD(rabbit) p.o.<NL>LD(rat) s.c.<NL>LDLo(guinea pig) i.v.<NL>LDLo(cat) p.o.<NL>LD50(cat) i.v.	0.9 mg/kg<NL>10 mg/kg<NL>353 mcg/kg<NL>5.2 mg/kg<NL>167 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Urginea maritima	
ffs`P@@`QjjSKLrj|nvC{LTijuUPUATUELqBHtlhiL@@	303.35675	Scopolamine; (Hyoscine)	LD50(mouse) i.v.<NL>LD50(mouse) s.c.<NL>LD50(mouse) i.p.<NL>LD50(rat) p.o.<NL>LDLo(rabbit) s.c.<NL>LDLo(rabbit) i.v.	163 mg/kg<NL>1700 mg/kg<NL>515 mg/kg<NL>2650 mg/kg<NL>75 mg/kg<NL>50 mg/kg<NL>				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>	Origin: Atropa belladonna; Hyoscyamus niger; Mandragora officinarum; Datura stramonium; Lycium barbarum<NL>Mutagen; Reproductive-effector	
dg|B@@SSRYVuWiiUjP@j`@@	192.16953	Scopoletine; (Chrysatropic acid; Gelseminic acid)	LD50(rat) p.o.<NL>LD50(mouse) i.v.	3800 mg/kg<NL>350 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Atropa belladonna; Scopolia carniolica	
fa{`P@C@hUnRJZKIISIIIPk`mF|GMZB@jjhBJHHJH@@	327.37875	Scoulerine	LDLo(rat) i.p.	250 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Fumaria officinalis; Corydalis cava; Corydalis species	
fjsP@B@BAHnRieY]UWVJyHuoIrT@@`jhH@H@@	272.35004	Sempervirine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Gelsemium sempervirens	
fakaP@M@Qeo\bbTTRTVbTtevkAbUkTuUUTuTuDINIR]HDP	335.3985	Senecionine; (Aureine)	LD50(mouse) i.v.<NL>LD50(rat) p.o.	64 mg/kg<NL>85 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Senecio species<NL>Cancerogen; Mutagen; Reproductive-effector	
fe{`p@D`QkOYiLlrl}rukiZWkTuTuSUUSVBQR]DDoH	365.42438	Senkirkine; (Renardine)	LD50(rat) i.p.	220 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Asteraceae; Tribus Senecioneae; Petasites; Brachyglottis; Farfugium; Emilia; Tussilago<NL>carcinogen; mutagen; hepatotoxic; tumorigen	
ea[PE@@@ACJf`XRV^\bbbbbbbvvTtTTLRRTRcgFbgcdTvurOuKPAAPDUL@P@qPtD@@@	538.4629	Sennidine A						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Cassia angustifolia; Cassia senna	
ea[PE@@@ACJf`XRV^\bbbbbbbvvTtTTLRRTRcgFbgcdTvurOuKPAAPDUL@P@qPtDBFbB`@	538.4629	Sennidine B						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Cassia angustifolia; Cassia senna	
gguD@T@@@@`qdf_@VJTjuFoTYLV{[cuxhRDaHRDaHQDsLcHQDaHRDaHqHQDILRDRAaJaDaHqDxZE@QpdVPkaIeZEAatyh@`hHbjj`Ajh@ibajjjj`hHqhWaQHTPrKEBVYUdv`ySd@@	862.7437	Sennosid A; (Glysennid; Pursenid)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Cassia angustifolia; Cassia senna; Rheum species	
gguD@T@@@@`qdf_@VJTjuFoTYLV{[cuxhRDaHRDaHQDsLcHQDaHRDaHqHQDILRDRAaJaDaHqDxZE@QpdVPkaIeZEAatyh@`hHbjj`Ajh@ibajjjj`hHqhgaQHTPrKEBVYUdv`ySd@@	862.7437	Sennosid B; (Anthraquinone)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Cassia angustifolia; Cassia senna; Rheum species	
feoQ`BGQ@ccicrSK[Jj{JzheF\gIZcfuMUUPPT@PAabEEH@	348.4008	Serpentine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Rauvolfia serpentina	
eglXD@@L@KldTbbRRQbRtJTfVqCBefabVSWVquUUUUUUUUUUUFPQADIaZHqVPJYJi]Py@@	415.6593	Soladulcidine; (Megacarpidine; Dihydrosolasodine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Solanum dulcamara	
gkuFAx@@NpC@HTZOFRhlnDnRkTVrQQQJIJIKISQSJIQJJYSIXeFZIYSSIZaHRCMbIyRABkShLfKUevzjjjjjjjZjjjjjjjjjjjjjjiY@bBDEPWARDxPQEDtPqSElaqOHBRJThJQjNdFRZYiVfz@@	868.06665	Solamargine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Solanum marginatum L; Solanum nigrum; Solanum albicans	
ekdXH@@J`DfUmeunWY]ZNIMGOHljfemjjZjjjjjjjjkRA\JQZJr^JIYPjMIY@@	397.6444	Solanidine; (Solatubine)	LDLo(guinea pig) s.c.	130 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Solanaceae<NL>Mutagen	
gkuFAx@@JpC@HTZOBPXlaXnRjtzrQQQJIJIEJISJJIQSIQKFYKKRqKJIYJaHbMIgryRIBcWjMfkMevzjjjjjjfjjjjjjjjjjjjjjjiY@bBDEPgARDxfQEDtWQSIlUq_HbaITdJVj^eFVZEhvRy@@	868.06665	alpha-Solanine; (Solatunine)	LD50(rat) i.p.<NL>LDLo(man) unreported<NL>LDLo(rabbit) s.c.<NL>LD50(rat) p.o.	67 mg/kg<NL>2941 mcg/kg<NL>5 mg/kg<NL>590 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Solanum nigrum; Solanum dulcamara; Solanum tuberosum<NL>Tumorigen; Mutagen; Reproductive-effector	
eobTD@@AG`LLdTbfbRRRbnfRdrvXdTltLrJzFNnjjjjjjjjjjjjl`RDHSBdRbtQbRaRZPtnP@	430.67422	Solanocapsine	LD50(mouse) i.p.<NL>LD50(mouse) s.c.	100 mg/kg<NL>300 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Solanum pseudocapsicum; Solanum species	
eglXD@@L@KldTbbRRQbRtJTfVqCBefabVSWVquUUUUUUUUUUSZPQADIaZHqVPJYJiGH@	413.64343	Solasodine; (Solanocarpidine; Purapuridine)	LD50(mouse) p.o.<NL>LDLo(Hamster) p.o.	27.5 mg/kg<NL>1200 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Solanum dulcamara; Solanum nigrum; Solanum species<NL>Reproductive-effector	
fheP@@@FrRJIJIXiIdnJt[pZjjjjjjIADSEi@@	234.38544	L-Sparteine; (Lupinidine)	LD50(mouse) i.p.<NL>LD50(mouse) p.o.<NL>LDLo(rabbit) s.c.<NL>LD50(rat) p.o.<NL>LD50(rat) i.p.<NL>LDLo(rabbit) i.v.<NL>LDLo(pigeon) s.c.<NL>LDLo(frog) s.c.<NL>LDLo(guinea pig) i.p.	36 mg/kg<NL>220 mg/kg<NL>100 mg/kg<NL>960 mg/kg<NL>42 mg/kg<NL>30 mg/kg<NL>86 mg/kg<NL>3330 mg/kg<NL>23 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Sarothamnus scoparius; Genista species; Lupinus species	
